record_type,algorithm,order,value
compile_returncode,3mm,4,0
compile_returncode,3mm,5,0
compile_returncode,3mm,6,0
compile_returncode,3mm,7,0
compile_returncode,3mm,8,0
compile_returncode,3mm,9,0
run_returncode,3mm,0,0
run_returncode,3mm,1,0
run_returncode,3mm,2,0
run_returncode,3mm,3,0
run_returncode,3mm,4,0
run_returncode,3mm,5,0
run_returncode,3mm,6,0
run_returncode,3mm,7,0
run_returncode,3mm,8,0
run_returncode,3mm,9,0
compile_time,symm,0,10.344503
compile_time,symm,1,3.869830
compile_time,symm,2,4.004466
compile_time,symm,3,5.798860
compile_time,symm,4,5.663559
compile_time,symm,5,4.929774
compile_time,symm,6,4.491956
compile_time,symm,7,4.250299
compile_time,symm,8,3.666801
compile_time,symm,9,4.376846
run_time,symm,0,13.895373
run_time,symm,1,16.109675
run_time,symm,2,16.442360
run_time,symm,3,13.654086
run_time,symm,4,13.862809
run_time,symm,5,13.422539
run_time,symm,6,13.038759
run_time,symm,7,16.150545
run_time,symm,8,16.477708
run_time,symm,9,13.321600
compile_returncode,symm,0,0
compile_returncode,symm,1,0
compile_returncode,symm,2,0
compile_returncode,symm,3,0
compile_returncode,symm,4,0
compile_returncode,symm,5,0
compile_returncode,symm,6,0
compile_returncode,symm,7,0
compile_returncode,symm,8,0
compile_returncode,symm,9,0
run_returncode,symm,0,0
run_returncode,symm,1,0
run_returncode,symm,2,0
run_returncode,symm,3,0
run_returncode,symm,4,0
run_returncode,symm,5,0
run_returncode,symm,6,0
run_returncode,symm,7,0
run_returncode,symm,8,0
run_returncode,symm,9,0
compile_time,nussinov,0,7.096269
compile_time,nussinov,1,2.334292
compile_time,nussinov,2,2.364107
compile_time,nussinov,3,2.379833
compile_time,nussinov,4,2.515673
compile_time,nussinov,5,5.783175
compile_time,nussinov,6,2.344272
compile_time,nussinov,7,3.835054
compile_time,nussinov,8,3.096184
compile_time,nussinov,9,28.399311
run_time,nussinov,0,92.276158
run_time,nussinov,1,112.119883
run_time,nussinov,2,111.668735
run_time,nussinov,3,92.247595
run_time,nussinov,4,92.475825
run_time,nussinov,5,92.292426
run_time,nussinov,6,111.562655
run_time,nussinov,7,92.278047
run_time,nussinov,8,92.262230
run_time,nussinov,9,92.221049
compile_returncode,nussinov,0,0
compile_returncode,nussinov,1,0
compile_returncode,nussinov,2,0
compile_returncode,nussinov,3,0
compile_returncode,nussinov,4,0
compile_returncode,nussinov,5,0
compile_returncode,nussinov,6,0
compile_returncode,nussinov,7,0
compile_returncode,nussinov,8,0
compile_returncode,nussinov,9,0
run_returncode,nussinov,0,0
run_returncode,nussinov,1,0
run_returncode,nussinov,2,0
run_returncode,nussinov,3,0
run_returncode,nussinov,4,0
run_returncode,nussinov,5,0
run_returncode,nussinov,6,0
run_returncode,nussinov,7,0
run_returncode,nussinov,8,0
run_returncode,nussinov,9,0
compile_time,atax,0,7.655903
compile_time,atax,1,4.165667
compile_time,atax,2,3.671258
compile_time,atax,3,4.819268
compile_time,atax,4,13.721395
compile_time,atax,5,4.230145
compile_time,atax,6,3.948421
compile_time,atax,7,4.439211
compile_time,atax,8,3.384191
compile_time,atax,9,3.556136
run_time,atax,0,0.030407
run_time,atax,1,0.031841
run_time,atax,2,0.030865
run_time,atax,3,0.032299
run_time,atax,4,0.034037
run_time,atax,5,0.035789
run_time,atax,6,0.033173
run_time,atax,7,0.034474
run_time,atax,8,0.031795
run_time,atax,9,0.033340
compile_returncode,atax,0,0
compile_returncode,atax,1,0
compile_returncode,atax,2,0
compile_returncode,atax,3,0
compile_returncode,atax,4,0
compile_returncode,atax,5,0
compile_returncode,atax,6,0
compile_returncode,atax,7,0
compile_returncode,atax,8,0
compile_returncode,atax,9,0
run_returncode,atax,0,0
run_returncode,atax,1,0
run_returncode,atax,2,0
run_returncode,atax,3,0
run_returncode,atax,4,0
run_returncode,atax,5,0
run_returncode,atax,6,0
run_returncode,atax,7,0
run_returncode,atax,8,0
run_returncode,atax,9,0
compile_time,trisolv,0,6.929936
compile_time,trisolv,1,1.869333
